URL,COUNT
/,4718
/new_daily_digest/todays-recipe-133,17
/favicon.ico,2
/pack_request/emergency-balance,25
/my_offer/offers,82
/ajax_controller/quiz_result,9
/payment/request,9
/download_phone_pass_apk/ZXlKemJIVm5Jam9pYlhsbmNDMHhJbjA9,49
/download_phone_pass_apk/mygp-1/128282359,189
/?r=1,360
/more_gp_store/24,1
/pack/emergency-balance,255
/msisdn_validation/otp,16
/my_offer_msisdn_validation,25
/visit_free_site/eyJzaXRlX2lkIjoiMTAiLCJzaXRlX3VybCI6Imh0dHBzJTNBJTJGJTJGaHR0cC1iaWtyb3ktY29tLjAuZnJlZWJhc2ljcy5jb20lMkYiLCJyZWZlcmVyIjoiaHR0cDpcL1wvd3d3LmdwZWFzeW5ldC5jb20ifQ%3D%3D,1
/google_search,52
/msisdn_validation/resend_otp,36
/visit_free_site/eyJzaXRlX2lkIjoiMTIiLCJzaXRlX3VybCI6Imh0dHBzJTNBJTJGJTJGd3d3LjAuZnJlZWJhc2ljcy5jb20lMkZodHRwJTJGcGhvbmUuZXNwbmNyaWNpbmZvLmNvbSUyRiUzRmlvcmdfc2VydmljZV9pZF9pbnRlcm5hbCUzRDM4ODAwOTYxNDcyMDcxMyUzQkFmcE5uSGtESjFRcDliRUMiLCJyZWZlcmVyIjoiaHR0cDpcL1wvd3d3LmdwZWFzeW5ldC5jb20ifQ%3D%3D,12
/visit_free_site/eyJzaXRlX2lkIjoiNSIsInNpdGVfdXJsIjoiaHR0cHMlM0ElMkYlMkZmcmVlLmZhY2Vib29rLmNvbSIsInJlZmVyZXIiOiJodHRwOlwvXC93d3cuZ3BlYXN5bmV0LmNvbSJ9,49
/see_more_pack/,42
/msisdn_validation/validate,8
/LanguageSwitcher/switchLang/english,1
/payment/recharge,42
http://www.msftconnecttest.com/connecttest.txt,0
http://ipv6.msftconnecttest.com/connecttest.txt,0
/pack/facebook-28-days,8
/visit_free_site/eyJzaXRlX2lkIjoiODcwNDUiLCJzaXRlX3VybCI6Imh0dHBzJTNBJTJGJTJGd3d3LjAuZnJlZWJhc2ljcy5jb20lMkZodHRwcyUyRm0ubWF5YS5jb20uYmQlMkYlM0Zpb3JnX3NlcnZpY2VfaWRfaW50ZXJuYWwlM0Q1MDUyNTEyOTYyOTYwODElM0JBZnBZWWRmZmw0MUJ3S1poIiwicmVmZXJlciI6Imh0dHA6XC9cL3d3dy5ncGVhc3luZXQuY29tIn0%3D,3
